"filename", "language", "C++", "Markdown", "JSON", "CMake", "comment", "blank", "total"
"d:\code\Zaran2023\Basic\Model\inc\Model.h", "C++", 17, 0, 0, 0, 12, 1, 30
"d:\code\Zaran2023\Basic\Model\inc\ModelManager.h", "C++", 25, 0, 0, 0, 18, 1, 44
"d:\code\Zaran2023\Basic\Model\inc\PointCloudModel.h", "C++", 21, 0, 0, 0, 15, 1, 37
"d:\code\Zaran2023\Basic\Model\inc\PolyData.h", "C++", 33, 0, 0, 0, 15, 2, 50
"d:\code\Zaran2023\Basic\Model\src\Model.cpp", "C++", 6, 0, 0, 0, 24, 2, 32
"d:\code\Zaran2023\Basic\Model\src\ModelManager.cpp", "C++", 73, 0, 0, 0, 0, 4, 77
"d:\code\Zaran2023\Basic\Model\src\PointCloudModel.cpp", "C++", 51, 0, 0, 0, 1, 3, 55
"d:\code\Zaran2023\Basic\Model\src\PolyData.cpp", "C++", 77, 0, 0, 0, 2, 2, 81
"d:\code\Zaran2023\Basic\PostProcess\inc\Visual.h", "C++", 13, 0, 0, 0, 11, 0, 24
"d:\code\Zaran2023\Basic\PostProcess\src\Visual.cpp", "C++", 163, 0, 0, 0, 3, 9, 175
"d:\code\Zaran2023\Basic\PreProcess\inc\ReadSTL.h", "C++", 22, 0, 0, 0, 1, 1, 24
"d:\code\Zaran2023\Basic\PreProcess\src\ReadSTL.cpp", "C++", 28, 0, 0, 0, 0, 1, 29
"d:\code\Zaran2023\Basic\Utilities\inc\File.h", "C++", 6, 0, 0, 0, 16, 1, 23
"d:\code\Zaran2023\Basic\Utilities\inc\KDTree.h", "C++", 67, 0, 0, 0, 29, 24, 120
"d:\code\Zaran2023\Basic\Utilities\inc\Log.h", "C++", 13, 0, 0, 0, 13, 5, 31
"d:\code\Zaran2023\Basic\Utilities\inc\SpecialField.h", "C++", 7, 0, 0, 0, 11, 0, 18
"d:\code\Zaran2023\Basic\Utilities\inc\Timer.h", "C++", 13, 0, 0, 0, 11, 0, 24
"d:\code\Zaran2023\Basic\Utilities\src\File.cpp", "C++", 33, 0, 0, 0, 0, 2, 35
"d:\code\Zaran2023\Basic\Utilities\src\KDTree.cpp", "C++", 286, 0, 0, 0, 24, 64, 374
"d:\code\Zaran2023\Basic\Utilities\src\SpecialField.cpp", "C++", 51, 0, 0, 0, 2, 4, 57
"d:\code\Zaran2023\Basic\Utilities\src\Timer.cpp", "C++", 25, 0, 0, 0, 0, 0, 25
"d:\code\Zaran2023\Basic\Utilities\src\log.cpp", "C++", 27, 0, 0, 0, 0, 1, 28
"d:\code\Zaran2023\CMakeLists.txt", "CMake", 0, 0, 0, 55, 11, 12, 78
"d:\code\Zaran2023\CMakeSettings.json", "JSON", 0, 0, 39, 0, 0, 0, 39
"d:\code\Zaran2023\Change.md", "Markdown", 0, 60, 0, 0, 0, 24, 84
"d:\code\Zaran2023\Factory\Field\inc\FieldBuilder.h", "C++", 20, 0, 0, 0, 11, 0, 31
"d:\code\Zaran2023\Factory\Field\src\FieldBuilder.cpp", "C++", 108, 0, 0, 0, 3, 5, 116
"d:\code\Zaran2023\Factory\Grid\inc\FNGridFactory.h", "C++", 54, 0, 0, 0, 15, 3, 72
"d:\code\Zaran2023\Factory\Grid\inc\GridFactory.h", "C++", 12, 0, 0, 0, 18, 1, 31
"d:\code\Zaran2023\Factory\Grid\inc\GridStructFactory.h", "C++", 54, 0, 0, 0, 13, 4, 71
"d:\code\Zaran2023\Factory\Grid\src\FNGridFactory.cpp", "C++", 986, 0, 0, 0, 72, 19, 1077
"d:\code\Zaran2023\Factory\Grid\src\GridFactory.cpp", "C++", 6, 0, 0, 0, 0, 2, 8
"d:\code\Zaran2023\Factory\Grid\src\GridStructFactory.cpp", "C++", 1004, 0, 0, 0, 8, 16, 1028
"d:\code\Zaran2023\Factory\Readme.md", "Markdown", 0, 6, 0, 0, 0, 0, 6
"d:\code\Zaran2023\Field\BasicField\FieldData\inc\FieldData.h", "C++", 28, 0, 0, 0, 16, 3, 47
"d:\code\Zaran2023\Field\BasicField\FieldData\inc\FieldDataCommInfo.h", "C++", 27, 0, 0, 0, 8, 1, 36
"d:\code\Zaran2023\Field\BasicField\FieldData\inc\FieldDataManager.h", "C++", 18, 0, 0, 0, 2, 0, 20
"d:\code\Zaran2023\Field\BasicField\FieldData\src\FieldData.cpp", "C++", 134, 0, 0, 0, 0, 6, 140
"d:\code\Zaran2023\Field\BasicField\FieldData\src\FieldDataCommInfo.cpp", "C++", 27, 0, 0, 0, 0, 1, 28
"d:\code\Zaran2023\Field\BasicField\FieldData\src\FieldDataManager.cpp", "C++", 10, 0, 0, 0, 0, 1, 11
"d:\code\Zaran2023\Field\BasicField\Field\inc\Field.h", "C++", 48, 0, 0, 0, 21, 3, 72
"d:\code\Zaran2023\Field\BasicField\Field\inc\GlobalField.h", "C++", 23, 0, 0, 0, 10, 2, 35
"d:\code\Zaran2023\Field\BasicField\Field\src\Field.cpp", "C++", 51, 0, 0, 0, 0, 1, 52
"d:\code\Zaran2023\Field\BasicField\Field\src\GlobalField.cpp", "C++", 47, 0, 0, 0, 0, 2, 49
"d:\code\Zaran2023\Field\BasicField\Gradient\inc\GradWLSQ.h", "C++", 15, 0, 0, 0, 17, 1, 33
"d:\code\Zaran2023\Field\BasicField\Gradient\src\GradWLSQ.cpp", "C++", 143, 0, 0, 0, 2, 1, 146
"d:\code\Zaran2023\Field\BasicField\Metrics\inc\NodeMetricsFN.h", "C++", 25, 0, 0, 0, 7, 0, 32
"d:\code\Zaran2023\Field\BasicField\Metrics\src\NodeMetricsFN.cpp", "C++", 104, 0, 0, 0, 0, 10, 114
"d:\code\Zaran2023\Field\BasicField\Residual\inc\Residual.h", "C++", 25, 0, 0, 0, 8, 1, 34
"d:\code\Zaran2023\Field\BasicField\Residual\src\Residual.cpp", "C++", 54, 0, 0, 0, 0, 10, 64
"d:\code\Zaran2023\Field\BasicField\SolverPara\inc\SolverPara.h", "C++", 12, 0, 0, 0, 14, 2, 28
"d:\code\Zaran2023\Field\BasicField\SolverPara\src\SolverPara.cpp", "C++", 11, 0, 0, 0, 0, 8, 19
"d:\code\Zaran2023\Field\BasicField\Solver\inc\FieldSolver.h", "C++", 25, 0, 0, 0, 17, 2, 44
"d:\code\Zaran2023\Field\BasicField\Solver\inc\Solver.h", "C++", 29, 0, 0, 0, 16, 1, 46
"d:\code\Zaran2023\Field\BasicField\Solver\src\FieldSolver.cpp", "C++", 12, 0, 0, 0, 0, 2, 14
"d:\code\Zaran2023\Field\BasicField\Solver\src\Solver.cpp", "C++", 20, 0, 0, 0, 0, 6, 26
"d:\code\Zaran2023\Field\BasicField\Time\inc\TimeCompute.h", "C++", 16, 0, 0, 0, 11, 0, 27
"d:\code\Zaran2023\Field\BasicField\Time\src\TimeCompute.cpp", "C++", 11, 0, 0, 0, 0, 0, 11
"d:\code\Zaran2023\Field\FlowField\BasicFlowField\Para\inc\CFL.h", "C++", 19, 0, 0, 0, 12, 1, 32
"d:\code\Zaran2023\Field\FlowField\BasicFlowField\Para\inc\FlowSolverPara.h", "C++", 81, 0, 0, 0, 23, 0, 104
"d:\code\Zaran2023\Field\FlowField\BasicFlowField\Para\inc\FlowSolverStructPara.cpp", "C++", 146, 0, 0, 0, 0, 15, 161
"d:\code\Zaran2023\Field\FlowField\BasicFlowField\Para\inc\FlowSolverStructPara.h", "C++", 59, 0, 0, 0, 18, 1, 78
"d:\code\Zaran2023\Field\FlowField\BasicFlowField\Para\src\CFL.cpp", "C++", 65, 0, 0, 0, 0, 1, 66
"d:\code\Zaran2023\Field\FlowField\BasicFlowField\Para\src\FlowSolverPara.cpp", "C++", 275, 0, 0, 0, 0, 43, 318
"d:\code\Zaran2023\Field\FlowField\BasicFlowField\Solver\inc\FlowSolver.h", "C++", 27, 0, 0, 0, 17, 4, 48
"d:\code\Zaran2023\Field\FlowField\BasicFlowField\Solver\src\FlowSolver.cpp", "C++", 29, 0, 0, 0, 0, 7, 36
"d:\code\Zaran2023\Field\FlowField\GasFlow\Dimensionless\inc\Dimensionless.h", "C++", 51, 0, 0, 0, 14, 1, 66
"d:\code\Zaran2023\Field\FlowField\GasFlow\Dimensionless\src\Dimensionless.cpp", "C++", 38, 0, 0, 0, 0, 3, 41
"d:\code\Zaran2023\Field\FlowField\GasFlow\FieldDataManager\inc\DataManagerNS.h", "C++", 68, 0, 0, 0, 66, 1, 135
"d:\code\Zaran2023\Field\FlowField\GasFlow\FieldDataManager\inc\DataManagerNSStruct.h", "C++", 26, 0, 0, 0, 30, 1, 57
"d:\code\Zaran2023\Field\FlowField\GasFlow\FieldDataManager\src\DataManagerNS.cpp", "C++", 251, 0, 0, 0, 0, 42, 293
"d:\code\Zaran2023\Field\FlowField\GasFlow\FieldDataManager\src\DataManagerNSStruct.cpp", "C++", 76, 0, 0, 0, 0, 6, 82
"d:\code\Zaran2023\Field\FlowField\GasFlow\Field\inc\NSField.h", "C++", 24, 0, 0, 0, 1, 1, 26
"d:\code\Zaran2023\Field\FlowField\GasFlow\Field\inc\NSFieldFN.h", "C++", 22, 0, 0, 0, 0, 1, 23
"d:\code\Zaran2023\Field\FlowField\GasFlow\Field\inc\NSFieldStruct.h", "C++", 29, 0, 0, 0, 0, 2, 31
"d:\code\Zaran2023\Field\FlowField\GasFlow\Field\inc\NSFieldZaran.h", "C++", 79, 0, 0, 0, 8, 2, 89
"d:\code\Zaran2023\Field\FlowField\GasFlow\Field\src\NSField.cpp", "C++", 43, 0, 0, 0, 0, 2, 45
"d:\code\Zaran2023\Field\FlowField\GasFlow\Field\src\NSFieldFN.cpp", "C++", 76, 0, 0, 0, 0, 8, 84
"d:\code\Zaran2023\Field\FlowField\GasFlow\Field\src\NSFieldStruct.cpp", "C++", 126, 0, 0, 0, 0, 0, 126
"d:\code\Zaran2023\Field\FlowField\GasFlow\Field\src\NSFieldZaran.cpp", "C++", 547, 0, 0, 0, 42, 10, 599
"d:\code\Zaran2023\Field\FlowField\GasFlow\Physics\inc\Gas.h", "C++", 35, 0, 0, 0, 19, 3, 57
"d:\code\Zaran2023\Field\FlowField\GasFlow\Physics\inc\PerfectGas.h", "C++", 36, 0, 0, 0, 13, 0, 49
"d:\code\Zaran2023\Field\FlowField\GasFlow\Physics\src\Gas.cpp", "C++", 5, 0, 0, 0, 0, 1, 6
"d:\code\Zaran2023\Field\FlowField\GasFlow\Physics\src\PerfectGas.cpp", "C++", 81, 0, 0, 0, 0, 11, 92
"d:\code\Zaran2023\Field\FlowField\GasFlow\RiemannSolver\inc\Ausmpw.h", "C++", 10, 0, 0, 0, 11, 0, 21
"d:\code\Zaran2023\Field\FlowField\GasFlow\RiemannSolver\inc\HLLC.h", "C++", 10, 0, 0, 0, 11, 0, 21
"d:\code\Zaran2023\Field\FlowField\GasFlow\RiemannSolver\inc\RiemannSolver.h", "C++", 20, 0, 0, 0, 12, 0, 32
"d:\code\Zaran2023\Field\FlowField\GasFlow\RiemannSolver\inc\RiemannSolverFactory.h", "C++", 10, 0, 0, 0, 11, 1, 22
"d:\code\Zaran2023\Field\FlowField\GasFlow\RiemannSolver\inc\RiemannSolverPara.h", "C++", 20, 0, 0, 0, 22, 1, 43
"d:\code\Zaran2023\Field\FlowField\GasFlow\RiemannSolver\inc\Roe.h", "C++", 22, 0, 0, 0, 11, 2, 35
"d:\code\Zaran2023\Field\FlowField\GasFlow\RiemannSolver\inc\StegerWarming.h", "C++", 10, 0, 0, 0, 11, 0, 21
"d:\code\Zaran2023\Field\FlowField\GasFlow\RiemannSolver\inc\Vanleer.h", "C++", 10, 0, 0, 0, 11, 0, 21
"d:\code\Zaran2023\Field\FlowField\GasFlow\RiemannSolver\src\Ausmpw.cpp", "C++", 6, 0, 0, 0, 0, 1, 7
"d:\code\Zaran2023\Field\FlowField\GasFlow\RiemannSolver\src\HLLC.cpp", "C++", 90, 0, 0, 0, 27, 4, 121
"d:\code\Zaran2023\Field\FlowField\GasFlow\RiemannSolver\src\RiemannSolver.cpp", "C++", 0, 0, 0, 0, 0, 1, 1
"d:\code\Zaran2023\Field\FlowField\GasFlow\RiemannSolver\src\RiemannSolverFactory.cpp", "C++", 37, 0, 0, 0, 0, 3, 40
"d:\code\Zaran2023\Field\FlowField\GasFlow\RiemannSolver\src\Roe.cpp", "C++", 92, 0, 0, 0, 6, 8, 106
"d:\code\Zaran2023\Field\FlowField\GasFlow\RiemannSolver\src\StegerWarming.cpp", "C++", 5, 0, 0, 0, 0, 3, 8
"d:\code\Zaran2023\Field\FlowField\GasFlow\RiemannSolver\src\Vanleer.cpp", "C++", 73, 0, 0, 0, 9, 1, 83
"d:\code\Zaran2023\Field\FlowField\GasFlow\Solver\inc\NSSolver.h", "C++", 51, 0, 0, 0, 30, 3, 84
"d:\code\Zaran2023\Field\FlowField\GasFlow\Solver\inc\NSSolverFNFDM.h", "C++", 63, 0, 0, 0, 25, 8, 96
"d:\code\Zaran2023\Field\FlowField\GasFlow\Solver\inc\NSSolverStruct.h", "C++", 116, 0, 0, 0, 71, 12, 199
"d:\code\Zaran2023\Field\FlowField\GasFlow\Solver\inc\NSSolverStructCMM.h", "C++", 24, 0, 0, 0, 11, 2, 37
